id,Soil type,Installion method,gamma (kN/m3),friction angle (Â°),wall interface friction angle (Â°),cohesion (kPa),ultimate bond strength (kPa),Nc,Nq,Ng,D (mm),Dout (mm),Din (mm),Bar #,fy (MPa),H (m),Wall batter angle (Â°),Nail length (m),Sv (m),Sh (m),Nail inclination (Â°),Cantilever distance (m),TracciÃ³n (kN),Ka,Displacement (mm),Eccentricity (m),FS SL,FS BC,FS global,Es suficiente
1.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,3.0,45.0,3.0,0.79,0.79,20.0,0.3,61.7,0.083,6.0,-2.9,2.8,26.7,2.09,
2.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,4.0,45.0,3.0,0.79,0.79,20.0,0.3,61.7,0.083,8.0,-3.8,2.3,24.2,1.68,
3.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,5.0,45.0,3.5,0.79,0.79,20.0,0.3,61.7,0.083,10.0,-4.8,2.1,23.2,1.56,
4.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,6.0,45.0,4.5,0.79,0.79,20.0,0.3,61.8,0.083,12.0,-5.7,2.1,22.4,1.52,
5.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,7.0,45.0,5.0,0.79,0.79,20.0,0.3,61.9,0.083,14.0,-6.7,2.0,21.9,1.47,
6.0,,,17.0,26.0,17.3,5.0,28.0,22.3,11.9,12.5,203.0,25.4,0.0,25.0,413.7,8.0,45.0,6.0,0.79,0.79,20.0,0.3,62.0,0.083,16.0,-7.6,2.1,21.8,1.45,
9.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,3.0,83.0,3.0,0.79,0.79,15.0,0.3,62.3,0.273,6.0,-0.2,2.0,11.0,1.7,
10.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,4.0,83.0,4.0,0.79,0.79,15.0,0.3,72.2,0.272,8.0,-0.3,2.0,10.6,1.6,
11.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,5.0,83.0,5.0,0.79,0.79,15.0,0.3,105.3,0.276,10.0,-0.3,1.9,10.3,1.61,
12.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,6.0,83.0,6.0,0.79,0.79,15.0,0.3,116.5,0.276,12.0,-0.4,1.9,10.3,1.55,
13.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,7.0,83.0,6.0,0.79,0.79,15.0,0.3,116.5,0.272,14.0,-0.5,1.9,10.4,1.51,
14.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,8.0,83.0,8.0,0.79,0.79,15.0,0.3,116.5,0.279,16.0,-0.5,1.8,10.0,1.45,
15.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,9.0,83.0,9.0,0.79,0.79,15.0,0.3,116.5,0.273,18.0,-0.7,1.9,10.2,1.46,
16.0,,,18.9,28.0,18.7,2.0,100.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,10.0,83.0,10.0,0.79,0.79,15.0,0.3,116.5,0.275,20.0,-0.7,1.7,9.2,1.33,
17.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,3.0,75.0,3.0,0.79,0.79,10.0,0.3,116.5,0.201,9.0,-0.7,2.4,19.0,1.51,
18.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,4.0,75.0,3.0,0.79,0.79,10.0,0.3,116.5,0.202,12.0,-0.9,1.8,15.7,1.42,
19.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,5.0,75.0,4.0,0.79,0.79,10.0,0.3,116.5,0.203,15.0,-1.1,1.9,15.8,1.45,
20.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,6.0,75.0,5.0,0.79,0.79,10.0,0.3,116.5,0.202,18.0,-1.3,2.0,16.1,1.48,
21.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,7.0,75.0,5.0,0.79,0.79,10.0,0.3,116.5,0.201,21.0,-1.5,1.7,14.7,1.37,
22.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,8.0,75.0,6.0,0.79,0.79,10.0,0.3,116.5,0.2,24.0,-1.7,1.8,15.2,1.46,
23.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,9.0,75.0,7.0,0.79,0.79,10.0,0.3,116.5,0.204,27.0,-1.9,1.8,15.1,1.52,
24.0,,,19.0,30.0,20.0,1.5,193.0,30.1,18.4,22.4,203.0,25.4,0.0,25.0,413.7,10.0,75.0,8.0,0.79,0.79,10.0,0.3,116.5,0.202,30.0,-2.2,1.9,15.5,1.57,
26.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,4.0,85.0,3.0,0.79,0.79,10.0,0.3,77.2,0.3,8.0,-0.1,1.7,9.7,1.91,
27.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,5.0,85.0,4.0,0.79,0.79,10.0,0.3,116.5,0.301,10.0,-0.1,1.7,9.1,1.74,
28.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,6.0,85.0,5.0,0.79,0.79,10.0,0.3,116.5,0.301,12.0,-0.1,1.7,8.9,2.09,
29.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,7.0,85.0,5.0,0.79,0.79,10.0,0.3,116.5,0.302,14.0,-0.1,1.4,7.7,1.38,
30.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,8.0,85.0,7.0,0.79,0.79,10.0,0.3,116.5,0.295,16.0,-0.2,1.8,9.0,1.52,
31.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,9.0,85.0,8.0,0.79,0.79,10.0,0.3,116.5,0.297,18.0,-0.3,1.8,8.8,1.64,
32.0,,,17.5,27.0,18.0,10.0,137.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,10.0,85.0,9.0,0.79,0.79,10.0,0.3,116.5,0.298,20.0,-0.3,1.7,8.7,1.46,
33.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,3.0,85.0,3.0,1.5,1.5,20.0,0.3,62.2,0.286,0.0,0.0,2.0,10.5,1.77,
34.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,4.0,85.0,3.0,1.5,1.5,20.0,0.3,62.2,0.286,0.0,0.0,1.5,7.8,1.46,
35.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,5.0,85.0,5.0,1.5,1.5,20.0,0.3,66.0,0.276,0.0,-0.2,2.0,10.2,1.64,
36.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,6.0,85.0,6.0,1.5,1.5,20.0,0.3,90.0,0.285,0.0,-0.2,1.9,9.7,1.57,
37.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,7.0,85.0,7.0,1.5,1.5,20.0,0.3,114.8,0.286,0.0,-0.2,1.9,9.6,1.5,
38.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,8.0,85.0,8.0,1.5,1.5,20.0,0.3,116.5,0.285,0.0,-0.2,1.8,9.5,1.38,
39.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,9.0,85.0,10.0,1.5,1.5,20.0,0.3,116.5,0.289,0.0,-0.4,2.0,10.3,1.36,
40.0,,,18.5,28.0,18.7,3.5,76.0,25.8,14.7,16.7,203.0,25.4,0.0,25.0,413.7,10.0,85.0,11.0,1.5,1.5,20.0,0.3,116.5,0.287,0.0,-0.4,2.0,10.2,1.24,
41.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,3.0,89.0,3.0,1.0,1.0,10.0,0.25,62.4,0.301,9.0,0.1,1.9,9.6,1.44,
42.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,4.0,89.0,4.0,1.0,1.0,10.0,0.25,72.2,0.296,12.0,0.1,1.9,9.9,1.47,
43.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,5.0,89.0,5.0,1.0,1.0,10.0,0.25,105.3,0.295,15.0,0.1,1.9,9.8,1.43,
44.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,6.0,89.0,6.0,1.0,1.0,10.0,0.25,116.5,0.296,18.0,0.2,1.9,9.8,1.41,
45.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,7.0,89.0,7.0,1.0,1.0,10.0,0.25,116.5,0.298,21.0,0.2,1.9,9.8,1.34,
46.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,8.0,89.0,8.0,1.0,1.0,10.0,0.25,116.5,0.296,24.0,0.3,1.9,9.6,1.33,
47.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,9.0,89.0,9.0,1.0,1.0,10.0,0.25,116.5,0.299,27.0,0.3,1.9,9.6,1.31,
48.0,,,19.5,29.5,19.7,0.0,151.0,29.0,17.4,20.8,203.0,25.4,0.0,25.0,413.7,10.0,89.0,10.0,1.0,1.0,10.0,0.25,116.5,0.293,27.0,0.3,2.0,9.8,1.36,
61.0,,,16.5,27.0,18.0,20.0,90.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,7.0,70.0,6.0,1.4,1.4,10.0,0.1,62.7,0.21,21.0,-2.2,2.4,18.8,2.04,
62.0,,,16.5,27.0,18.0,20.0,90.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,8.0,70.0,7.0,1.4,1.4,10.0,0.1,116.5,0.208,24.0,-2.5,2.3,18.1,2.03,
63.0,,,16.5,27.0,18.0,20.0,90.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,9.0,70.0,8.0,1.4,1.4,10.0,0.1,116.5,0.209,27.0,-2.8,2.3,17.5,2.01,
64.0,,,16.5,27.0,18.0,20.0,90.0,23.9,13.2,14.5,203.0,25.4,0.0,25.0,413.7,10.0,70.0,9.0,1.4,1.4,10.0,0.1,116.5,0.211,30.0,-3.1,2.2,16.6,1.84,
66.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,4.0,65.0,3.0,1.5,1.0,15.0,0.15,41.6,0.223,8.0,-1.6,1.9,14.2,1.87,
67.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,5.0,65.0,4.0,1.5,1.0,15.0,0.15,41.8,0.225,10.0,-2.0,1.8,12.8,1.68,
68.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,6.0,65.0,5.0,1.5,1.0,15.0,0.15,42.0,0.221,12.0,-2.4,1.9,12.6,1.59,
69.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,7.0,65.0,6.0,1.5,1.0,15.0,0.15,43.5,0.221,14.0,-2.9,1.8,12.3,1.55,
70.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,8.0,65.0,7.0,1.5,1.0,15.0,0.15,63.0,0.222,16.0,-3.3,1.8,11.7,1.52,
71.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,9.0,65.0,8.0,1.5,1.0,15.0,0.15,83.4,0.223,18.0,-3.7,1.8,11.6,1.46,
72.0,,,16.0,24.0,16.0,10.0,62.0,19.3,9.6,9.4,203.0,25.4,0.0,25.0,413.7,10.0,65.0,9.0,1.5,1.0,15.0,0.15,102.3,0.222,20.0,-4.1,1.8,11.4,1.43,
